category,instances,instances_train,instances_val,images,pct_instances,cum_pct
category_161,238,208,30,218,0.346,63.647
category_219,237,208,29,216,0.344,63.992
category_142,233,203,30,218,0.339,64.330
category_145,233,206,27,130,0.339,64.669
category_373,219,190,29,217,0.318,64.987
category_286,215,188,27,202,0.312,65.300
category_273,206,181,25,197,0.299,65.599
category_46,205,179,26,195,0.298,65.897
category_32,203,177,26,185,0.295,66.192
category_293,201,177,24,185,0.292,66.484
category_87,201,174,27,180,0.292,66.776
category_255,197,169,28,178,0.286,67.062
category_102,193,168,25,153,0.280,67.343
category_221,186,162,24,175,0.270,67.613
category_29,186,163,23,169,0.270,67.883
category_40,185,157,28,155,0.269,68.152
category_113,184,161,23,174,0.267,68.420
category_79,184,157,27,170,0.267,68.687
category_332,180,156,24,165,0.262,68.949
category_340,179,157,22,160,0.260,69.209
category_58,175,153,22,172,0.254,69.463
category_315,171,149,22,155,0.248,69.712
category_346,171,150,21,146,0.248,69.960
category_101,168,147,21,160,0.244,70.204
category_179,168,146,22,159,0.244,70.448
category_297,168,148,20,157,0.244,70.692
category_148,165,144,21,148,0.240,70.932
category_73,165,145,20,152,0.240,71.172
category_95,163,143,20,155,0.237,71.409
category_398,162,140,22,149,0.235,71.644
category_193,160,138,22,147,0.233,71.877
category_242,160,140,20,156,0.233,72.109
category_231,157,136,21,154,0.228,72.337
category_358,156,136,20,146,0.227,72.564
category_371,151,133,18,150,0.219,72.784
category_141,150,131,19,140,0.218,73.002
category_34,147,127,20,132,0.214,73.215
category_123,145,126,19,140,0.211,73.426
category_97,144,126,18,126,0.209,73.635
category_4,143,125,18,139,0.208,73.843
category_381,141,124,17,118,0.205,74.048
category_188,140,118,22,129,0.203,74.251
category_176,139,121,18,116,0.202,74.453
category_116,138,121,17,134,0.201,74.654
category_120,138,121,17,136,0.201,74.854
category_23,137,118,19,133,0.199,75.053
category_55,135,119,16,128,0.196,75.250
category_225,132,116,16,130,0.192,75.441
category_365,132,115,17,124,0.192,75.633
category_100,131,114,17,120,0.190,75.824
category_317,131,113,18,125,0.190,76.014
category_357,131,116,15,122,0.190,76.204
category_185,127,110,17,114,0.185,76.389
category_5,127,110,17,121,0.185,76.573
category_333,126,110,16,121,0.183,76.757
category_119,125,109,16,125,0.182,76.938
category_160,124,109,15,112,0.180,77.118
category_138,123,107,16,100,0.179,77.297
category_397,123,107,16,119,0.179,77.476
category_163,120,105,15,106,0.174,77.650
category_198,120,108,12,116,0.174,77.825
category_232,120,104,16,115,0.174,77.999
category_241,120,104,16,109,0.174,78.173
category_370,120,105,15,106,0.174,78.348
category_383,120,105,15,104,0.174,78.522
category_316,119,103,16,88,0.173,78.695
category_377,118,103,15,114,0.171,78.867
category_227,117,103,14,112,0.170,79.037
category_170,116,102,14,111,0.169,79.205
category_243,116,97,19,112,0.169,79.374
category_74,116,101,15,112,0.169,79.542
category_396,114,99,15,109,0.166,79.708
category_250,113,98,15,109,0.164,79.872
category_252,113,100,13,111,0.164,80.036
category_337,113,98,15,111,0.164,80.201
category_47,113,97,16,105,0.164,80.365
category_8,113,99,14,100,0.164,80.529
category_263,112,97,15,107,0.163,80.692
category_18,110,95,15,97,0.160,80.852
category_26,110,97,13,106,0.160,81.011
category_39,109,96,13,98,0.158,81.170
category_89,109,95,14,107,0.158,81.328
category_299,108,94,14,75,0.157,81.485
category_269,107,94,13,101,0.155,81.641
category_304,107,93,14,101,0.155,81.796
category_36,107,95,12,100,0.155,81.952
category_382,107,95,12,102,0.155,82.107
category_28,104,91,13,74,0.151,82.258
category_319,104,91,13,98,0.151,82.409
category_390,104,93,11,90,0.151,82.560
category_42,103,92,11,94,0.150,82.710
category_61,102,89,13,92,0.148,82.858
category_248,101,88,13,97,0.147,83.005
category_33,101,88,13,80,0.147,83.152
category_347,101,88,13,89,0.147,83.299
category_52,101,88,13,98,0.147,83.445
category_171,99,86,13,81,0.144,83.589
category_196,99,86,13,92,0.144,83.733
category_209,97,85,12,79,0.141,83.874
category_15,96,84,12,93,0.140,84.014
category_194,96,84,12,83,0.140,84.153
category_266,96,84,12,73,0.140,84.293
category_385,96,85,11,83,0.140,84.432
category_12,94,82,12,93,0.137,84.569
category_130,94,83,11,85,0.137,84.705
category_178,94,81,13,91,0.137,84.842
category_384,94,83,11,83,0.137,84.979
category_65,94,81,13,92,0.137,85.115
category_146,93,81,12,92,0.135,85.250
category_353,93,81,12,87,0.135,85.385
category_114,92,80,12,82,0.134,85.519
category_3,92,82,10,90,0.134,85.653
category_2,91,79,12,87,0.132,85.785
category_399,91,79,12,81,0.132,85.917
category_14,90,77,13,72,0.131,86.048
category_153,90,78,12,86,0.131,86.179
category_393,89,78,11,79,0.129,86.308
category_307,88,77,11,82,0.128,86.436
category_70,87,76,11,80,0.126,86.563
category_137,86,78,8,78,0.125,86.687
category_192,86,75,11,77,0.125,86.812
category_245,86,75,11,85,0.125,86.937
category_265,86,79,7,82,0.125,87.062
category_72,86,75,11,78,0.125,87.187
category_311,85,75,10,71,0.124,87.311
category_313,84,74,10,63,0.122,87.433
category_189,83,73,10,65,0.121,87.554
category_31,83,73,10,79,0.121,87.674
category_44,83,72,11,76,0.121,87.795
category_94,83,70,13,82,0.121,87.915
category_175,82,71,11,74,0.119,88.035
category_260,81,71,10,78,0.118,88.152
category_360,81,70,11,76,0.118,88.270
category_363,81,70,11,75,0.118,88.388
category_107,79,69,10,77,0.115,88.503
category_238,79,70,9,75,0.115,88.617
category_127,78,69,9,74,0.113,88.731
category_133,78,68,10,71,0.113,88.844
category_149,78,68,10,77,0.113,88.957
category_302,78,68,10,74,0.113,89.071
category_80,78,66,12,58,0.113,89.184
category_168,77,67,10,73,0.112,89.296
category_356,77,68,9,73,0.112,89.408
category_389,77,67,10,72,0.112,89.520
category_216,76,66,10,73,0.110,89.630
category_60,76,66,10,67,0.110,89.741
category_218,75,66,9,74,0.109,89.850
category_275,75,65,10,69,0.109,89.959
category_342,75,64,11,68,0.109,90.068
category_140,74,64,10,65,0.108,90.175
category_174,74,65,9,69,0.108,90.283
category_292,74,65,9,61,0.108,90.390
category_285,73,65,8,48,0.106,90.496
category_108,72,63,9,59,0.105,90.601
category_278,72,63,9,70,0.105,90.706
category_323,71,61,10,65,0.103,90.809
category_68,71,61,10,36,0.103,90.912
category_322,70,62,8,67,0.102,91.014
category_86,70,60,10,66,0.102,91.115
category_344,69,60,9,66,0.100,91.216
category_157,68,59,9,49,0.099,91.314
category_262,68,57,11,65,0.099,91.413
category_379,68,59,9,63,0.099,91.512
category_24,67,58,9,67,0.097,91.609
category_53,67,56,11,47,0.097,91.707
category_186,66,58,8,60,0.096,91.803
category_21,66,58,8,63,0.096,91.899
category_217,66,54,12,65,0.096,91.994
category_288,66,58,8,64,0.096,92.090
category_374,65,57,8,64,0.094,92.185
category_136,64,56,8,62,0.093,92.278
category_210,64,56,8,48,0.093,92.371
category_182,62,54,8,37,0.090,92.461
category_386,62,54,8,57,0.090,92.551
category_281,61,53,8,60,0.089,92.640
category_308,61,53,8,43,0.089,92.728
category_111,60,52,8,49,0.087,92.816
category_139,60,52,8,58,0.087,92.903
category_155,60,52,8,52,0.087,92.990
category_298,60,52,8,60,0.087,93.077
category_253,58,50,8,54,0.084,93.161
category_364,58,51,7,54,0.084,93.246
category_348,57,48,9,42,0.083,93.328
category_54,57,50,7,56,0.083,93.411
category_57,57,49,8,51,0.083,93.494
category_6,57,49,8,53,0.083,93.577
category_165,56,48,8,56,0.081,93.658
category_167,56,49,7,47,0.081,93.740
category_30,56,49,7,51,0.081,93.821
category_327,56,48,8,52,0.081,93.902
category_76,56,50,6,55,0.081,93.984
category_199,55,48,7,49,0.080,94.064
category_220,55,48,7,52,0.080,94.144
category_233,55,48,7,48,0.080,94.224
category_208,54,46,8,52,0.078,94.302
category_244,54,48,6,54,0.078,94.381
category_341,54,46,8,49,0.078,94.459
category_129,53,45,8,50,0.077,94.536
category_180,53,46,7,52,0.077,94.613
category_191,53,46,7,52,0.077,94.690
category_206,53,46,7,53,0.077,94.767
category_268,53,46,7,49,0.077,94.844
category_190,52,44,8,52,0.076,94.920
category_283,52,45,7,49,0.076,94.995
category_310,52,45,7,48,0.076,95.071
category_294,51,45,6,50,0.074,95.145
category_35,51,44,7,49,0.074,95.219
category_66,51,45,6,40,0.074,95.293
category_143,50,44,6,50,0.073,95.366
category_276,50,43,7,45,0.073,95.438
category_200,49,41,8,40,0.071,95.510
category_205,49,43,6,42,0.071,95.581
category_290,49,44,5,47,0.071,95.652
category_90,49,43,6,41,0.071,95.723
category_301,48,42,6,47,0.070,95.793
category_115,47,42,5,45,0.068,95.861
category_378,47,41,6,47,0.068,95.930
category_391,47,42,5,47,0.068,95.998
category_82,47,41,6,38,0.068,96.066
category_124,46,40,6,41,0.067,96.133
category_134,46,40,6,44,0.067,96.200
category_183,46,41,5,46,0.067,96.267
category_224,46,40,6,26,0.067,96.334
category_287,46,40,6,39,0.067,96.400
category_117,45,36,9,39,0.065,96.466
category_126,45,38,7,42,0.065,96.531
category_395,44,37,7,36,0.064,96.595
category_88,44,35,9,38,0.064,96.659
category_318,42,33,9,41,0.061,96.720
category_335,42,36,6,40,0.061,96.781
category_387,42,37,5,42,0.061,96.842
category_77,42,39,3,42,0.061,96.903
category_99,42,39,3,39,0.061,96.964
category_228,41,35,6,36,0.060,97.024
category_105,40,34,6,38,0.058,97.082
category_254,40,33,7,40,0.058,97.140
category_289,40,35,5,37,0.058,97.198
category_109,39,33,6,29,0.057,97.255
category_187,38,34,4,38,0.055,97.310
category_41,38,34,4,37,0.055,97.365
category_181,37,33,4,35,0.054,97.419
category_20,37,33,4,35,0.054,97.473
category_215,37,31,6,34,0.054,97.527
category_324,37,29,8,36,0.054,97.580
category_110,36,32,4,35,0.052,97.633
category_177,36,31,5,36,0.052,97.685
category_354,36,32,4,34,0.052,97.737
category_19,34,31,3,29,0.049,97.787
category_296,33,27,6,30,0.048,97.835
category_314,33,28,5,29,0.048,97.883
category_380,33,32,1,31,0.048,97.931
category_156,32,25,7,32,0.047,97.977
category_306,32,27,5,31,0.047,98.024
category_169,31,26,5,27,0.045,98.069
category_270,31,23,8,30,0.045,98.114
category_63,31,27,4,29,0.045,98.159
category_1,30,27,3,29,0.044,98.202
category_122,30,28,2,29,0.044,98.246
category_259,30,25,5,24,0.044,98.290
category_367,30,23,7,27,0.044,98.333
category_394,30,29,1,30,0.044,98.377
category_132,29,28,1,22,0.042,98.419
category_331,29,26,3,27,0.042,98.461
category_135,28,22,6,28,0.041,98.502
category_25,28,25,3,26,0.041,98.542
category_258,28,23,5,27,0.041,98.583
category_27,28,22,6,28,0.041,98.624
category_103,27,25,2,24,0.039,98.663
category_305,27,26,1,24,0.039,98.702
category_62,27,22,5,19,0.039,98.742
category_22,26,22,4,25,0.038,98.779
category_234,26,24,2,24,0.038,98.817
category_43,26,22,4,24,0.038,98.855
category_59,26,23,3,26,0.038,98.893
category_204,23,22,1,22,0.033,98.926
category_350,23,23,0,17,0.033,98.960
category_96,23,21,2,23,0.033,98.993
category_392,22,20,2,19,0.032,99.025
category_159,21,18,3,19,0.031,99.055
category_184,21,17,4,21,0.031,99.086
category_284,21,18,3,21,0.031,99.116
category_50,21,19,2,21,0.031,99.147
category_237,20,18,2,20,0.029,99.176
category_291,20,18,2,19,0.029,99.205
category_309,20,15,5,20,0.029,99.234
category_83,20,19,1,19,0.029,99.263
category_247,19,17,2,19,0.028,99.291
category_256,19,16,3,18,0.028,99.318
category_282,19,17,2,16,0.028,99.346
category_375,19,17,2,19,0.028,99.374
category_121,18,17,1,17,0.026,99.400
category_277,18,16,2,17,0.026,99.426
category_352,18,17,1,17,0.026,99.452
category_359,18,17,1,18,0.026,99.478
category_71,18,16,2,18,0.026,99.504
category_229,17,11,6,15,0.025,99.529
category_246,17,14,3,17,0.025,99.554
category_67,17,15,2,15,0.025,99.579
category_7,17,15,2,13,0.025,99.603
category_93,17,17,0,17,0.025,99.628
category_201,16,14,2,16,0.023,99.651
category_203,15,13,2,15,0.022,99.673
category_279,15,13,2,15,0.022,99.695
category_320,15,14,1,15,0.022,99.717
category_16,14,14,0,11,0.020,99.737
category_166,14,13,1,14,0.020,99.757
category_213,14,12,2,14,0.020,99.778
category_303,14,12,2,14,0.020,99.798
category_69,14,14,0,7,0.020,99.818
category_150,12,12,0,10,0.017,99.836
category_158,12,10,2,12,0.017,99.853
category_321,12,12,0,12,0.017,99.871
category_236,11,11,0,10,0.016,99.887
category_312,11,7,4,9,0.016,99.903
category_125,10,9,1,10,0.015,99.917
category_264,10,8,2,10,0.015,99.932
category_45,10,10,0,10,0.015,99.946
category_261,9,9,0,9,0.013,99.959
category_329,8,6,2,8,0.012,99.971
category_128,7,6,1,7,0.010,99.981
category_84,6,5,1,6,0.009,99.990
category_368,5,5,0,5,0.007,99.997
category_118,2,2,0,2,0.003,100.000
