category,family,prefix,instances,images,pct_instances,cum_pct
p25,prohibitory (proibição/regulamentação),p,50,50,0.183,94.621
p14,prohibitory (proibição/regulamentação),p,49,43,0.179,94.800
pl110,prohibitory (proibição/regulamentação),pl,46,44,0.168,94.968
pmb,prohibitory (proibição/regulamentação),pmb,46,46,0.168,95.136
pdd,prohibitory (proibição/regulamentação),pdd,43,43,0.157,95.294
w47,warning (advertência, triangular),w,43,43,0.157,95.451
wc,warning (advertência, triangular),wc,39,39,0.143,95.594
pl10,prohibitory (proibição/regulamentação),pl,39,36,0.143,95.736
pr50,prohibitory (proibição/regulamentação),pr,36,36,0.132,95.868
p17,prohibitory (proibição/regulamentação),p,33,33,0.121,95.988
il50,indication/mandatory (indicação, azul),il,33,18,0.121,96.109
p29,prohibitory (proibição/regulamentação),p,33,32,0.121,96.230
pr20,prohibitory (proibição/regulamentação),pr,32,32,0.117,96.347
w45,warning (advertência, triangular),w,32,31,0.117,96.464
pm15,prohibitory (proibição/regulamentação),pm,30,30,0.110,96.574
ph4.2,prohibitory (proibição/regulamentação),ph,30,29,0.110,96.683
w42,warning (advertência, triangular),w,27,27,0.099,96.782
ph3,prohibitory (proibição/regulamentação),ph,27,16,0.099,96.881
pa13,prohibitory (proibição/regulamentação),pa,25,25,0.091,96.972
ph3.3,prohibitory (proibição/regulamentação),ph,24,24,0.088,97.060
iz,indication/mandatory (indicação, azul),iz,24,24,0.088,97.148
i12,indication/mandatory (indicação, azul),i,23,18,0.084,97.232
pl35,prohibitory (proibição/regulamentação),pl,22,22,0.080,97.312
pss,prohibitory (proibição/regulamentação),pss,22,21,0.080,97.393
w3,warning (advertência, triangular),w,22,17,0.080,97.473
p16,prohibitory (proibição/regulamentação),p,21,21,0.077,97.550
il110,indication/mandatory (indicação, azul),il,21,21,0.077,97.627
pcr,prohibitory (proibição/regulamentação),pcr,19,19,0.069,97.696
pr70,prohibitory (proibição/regulamentação),pr,18,18,0.066,97.762
pcd,prohibitory (proibição/regulamentação),pcd,18,18,0.066,97.828
w34,warning (advertência, triangular),w,18,17,0.066,97.894
i13,indication/mandatory (indicação, azul),i,17,17,0.062,97.956
w24,warning (advertência, triangular),w,16,16,0.059,98.014
p2,prohibitory (proibição/regulamentação),p,16,16,0.059,98.073
pm5,prohibitory (proibição/regulamentação),pm,16,16,0.059,98.131
pw3.2,prohibitory (proibição/regulamentação),pw,15,11,0.055,98.186
ph2.2,prohibitory (proibição/regulamentação),ph,15,13,0.055,98.241
ph2.8,prohibitory (proibição/regulamentação),ph,15,15,0.055,98.296
w20,warning (advertência, triangular),w,15,15,0.055,98.351
il70,indication/mandatory (indicação, azul),il,14,14,0.051,98.402
ph2.5,prohibitory (proibição/regulamentação),ph,14,8,0.051,98.453
w18,warning (advertência, triangular),w,13,13,0.048,98.501
pa10,prohibitory (proibição/regulamentação),pa,13,12,0.048,98.548
w26,warning (advertência, triangular),w,13,13,0.048,98.596
p8,prohibitory (proibição/regulamentação),p,13,13,0.048,98.643
ph4.8,prohibitory (proibição/regulamentação),ph,13,13,0.048,98.691
p1n,prohibitory (proibição/regulamentação),p,12,12,0.044,98.735
ph2,prohibitory (proibição/regulamentação),ph,12,12,0.044,98.779
pr80,prohibitory (proibição/regulamentação),pr,11,11,0.040,98.819
pm50,prohibitory (proibição/regulamentação),pm,11,11,0.040,98.859
phclr,prohibitory (proibição/regulamentação),phclr,9,9,0.033,98.892
pm25,prohibitory (proibição/regulamentação),pm,9,9,0.033,98.925
pm8,prohibitory (proibição/regulamentação),pm,9,9,0.033,98.958
pmr,prohibitory (proibição/regulamentação),pmr,9,9,0.033,98.991
w41,warning (advertência, triangular),w,9,9,0.033,99.024
ph3.5,prohibitory (proibição/regulamentação),ph,9,9,0.033,99.057
pw4,prohibitory (proibição/regulamentação),pw,9,7,0.033,99.089
i1,indication/mandatory (indicação, azul),i,8,8,0.029,99.119
w43,warning (advertência, triangular),w,8,8,0.029,99.148
w46,warning (advertência, triangular),w,8,8,0.029,99.177
pm40,prohibitory (proibição/regulamentação),pm,8,8,0.029,99.206
pl25,prohibitory (proibição/regulamentação),pl,8,8,0.029,99.236
pc,prohibitory (proibição/regulamentação),pc,7,7,0.026,99.261
w8,warning (advertência, triangular),w,7,7,0.026,99.287
pm2,prohibitory (proibição/regulamentação),pm,7,7,0.026,99.313
pt,prohibitory (proibição/regulamentação),pt,7,7,0.026,99.338
i3,indication/mandatory (indicação, azul),i,7,7,0.026,99.364
ph4.3,prohibitory (proibição/regulamentação),ph,6,6,0.022,99.386
i15,indication/mandatory (indicação, azul),i,6,6,0.022,99.408
pctl,prohibitory (proibição/regulamentação),pctl,6,6,0.022,99.430
pm46,prohibitory (proibição/regulamentação),pm,6,6,0.022,99.451
i14,indication/mandatory (indicação, azul),i,5,5,0.018,99.470
pn-2,prohibitory (proibição/regulamentação),pn-,5,5,0.018,99.488
pm35,prohibitory (proibição/regulamentação),pm,5,5,0.018,99.506
w10,warning (advertência, triangular),w,5,5,0.018,99.525
p15,prohibitory (proibição/regulamentação),p,5,5,0.018,99.543
phcs,prohibitory (proibição/regulamentação),phcs,5,5,0.018,99.561
w37,warning (advertência, triangular),w,4,4,0.015,99.576
ph5.3,prohibitory (proibição/regulamentação),ph,4,4,0.015,99.590
w66,warning (advertência, triangular),w,4,4,0.015,99.605
p4,prohibitory (proibição/regulamentação),p,4,4,0.015,99.620
pw3,prohibitory (proibição/regulamentação),pw,4,4,0.015,99.634
w38,warning (advertência, triangular),w,3,3,0.011,99.645
w31,warning (advertência, triangular),w,3,3,0.011,99.656
w60,warning (advertência, triangular),w,3,3,0.011,99.667
ph2.9,prohibitory (proibição/regulamentação),ph,3,2,0.011,99.678
w50,warning (advertência, triangular),w,3,3,0.011,99.689
pa12,prohibitory (proibição/regulamentação),pa,3,2,0.011,99.700
p28,prohibitory (proibição/regulamentação),p,3,3,0.011,99.711
pm2.5,prohibitory (proibição/regulamentação),pm,3,3,0.011,99.722
ph2.6,prohibitory (proibição/regulamentação),ph,3,3,0.011,99.733
pmblr,prohibitory (proibição/regulamentação),pmblr,3,3,0.011,99.744
w15,warning (advertência, triangular),w,3,3,0.011,99.755
pw4.5,prohibitory (proibição/regulamentação),pw,3,3,0.011,99.766
w35,warning (advertência, triangular),w,3,3,0.011,99.777
ph2.4,prohibitory (proibição/regulamentação),ph,3,3,0.011,99.788
i11,indication/mandatory (indicação, azul),i,3,3,0.011,99.799
pw3.5,prohibitory (proibição/regulamentação),pw,2,2,0.007,99.806
pm13,prohibitory (proibição/regulamentação),pm,2,2,0.007,99.814
w16,warning (advertência, triangular),w,2,2,0.007,99.821
p20,prohibitory (proibição/regulamentação),p,2,2,0.007,99.828
pr100,prohibitory (proibição/regulamentação),pr,2,2,0.007,99.835
pm1.5,prohibitory (proibição/regulamentação),pm,2,2,0.007,99.843
w12,warning (advertência, triangular),w,2,2,0.007,99.850
ph5.5,prohibitory (proibição/regulamentação),ph,2,2,0.007,99.857
p21,prohibitory (proibição/regulamentação),p,2,2,0.007,99.865
ph1.8,prohibitory (proibição/regulamentação),ph,2,2,0.007,99.872
ph3.2,prohibitory (proibição/regulamentação),ph,2,2,0.007,99.879
pl65,prohibitory (proibição/regulamentação),pl,2,1,0.007,99.887
ph2.1,prohibitory (proibição/regulamentação),ph,2,2,0.007,99.894
pr45,prohibitory (proibição/regulamentação),pr,2,2,0.007,99.901
pcs,prohibitory (proibição/regulamentação),pcs,2,2,0.007,99.909
p24,prohibitory (proibição/regulamentação),p,2,2,0.007,99.916
ph4.4,prohibitory (proibição/regulamentação),ph,2,2,0.007,99.923
pnlc,prohibitory (proibição/regulamentação),pnlc,2,2,0.007,99.931
w28,warning (advertência, triangular),w,1,1,0.004,99.934
w48,warning (advertência, triangular),w,1,1,0.004,99.938
w5,warning (advertência, triangular),w,1,1,0.004,99.941
pr5,prohibitory (proibição/regulamentação),pr,1,1,0.004,99.945
w49,warning (advertência, triangular),w,1,1,0.004,99.949
pa18,prohibitory (proibição/regulamentação),pa,1,1,0.004,99.952
pa6,prohibitory (proibição/regulamentação),pa,1,1,0.004,99.956
w44,warning (advertência, triangular),w,1,1,0.004,99.960
w1,warning (advertência, triangular),w,1,1,0.004,99.963
w62,warning (advertência, triangular),w,1,1,0.004,99.967
pw4.2,prohibitory (proibição/regulamentação),pw,1,1,0.004,99.971
pw2.5,prohibitory (proibição/regulamentação),pw,1,1,0.004,99.974
pr10,prohibitory (proibição/regulamentação),pr,1,1,0.004,99.978
pa8,prohibitory (proibição/regulamentação),pa,1,1,0.004,99.982
p7,prohibitory (proibição/regulamentação),p,1,1,0.004,99.985
w14,warning (advertência, triangular),w,1,1,0.004,99.989
pclr,prohibitory (proibição/regulamentação),pclr,1,1,0.004,99.993
w56,warning (advertência, triangular),w,1,1,0.004,99.996
ph3.8,prohibitory (proibição/regulamentação),ph,1,1,0.004,100.000
