image,cluster,dist_to_centroid
19923.jpg,10,0.5531
9301.jpg,9,0.6444
17615.jpg,19,0.7806
14704.jpg,9,0.7740
8843.jpg,14,0.5275
14322.jpg,0,0.8402
5980.jpg,5,0.7144
18417.jpg,2,0.6481
6390.jpg,19,0.5791
17220.jpg,15,0.6545
13389.jpg,7,0.6558
11679.jpg,6,0.5871
11727.jpg,16,0.7083
3740.jpg,6,0.5076
17662.jpg,15,0.6968
16290.jpg,6,0.4398
17528.jpg,3,0.7501
17299.jpg,9,0.7390
18312.jpg,18,0.6634
7392.jpg,0,0.7742
4985.jpg,7,0.6632
10965.jpg,11,0.6617
399.jpg,8,0.5697
3645.jpg,7,0.7925
9534.jpg,11,0.6802
3515.jpg,14,0.5228
11750.jpg,9,0.6859
11079.jpg,1,0.6425
17148.jpg,3,0.5372
4970.jpg,7,0.6810
16033.jpg,10,0.5586
6264.jpg,19,0.6412
7354.jpg,15,0.7344
11939.jpg,3,0.5225
14419.jpg,19,0.6911
13408.jpg,9,0.7862
13386.jpg,1,0.6104
19570.jpg,3,0.5772
17980.jpg,6,0.5936
12483.jpg,7,0.8963
17500.jpg,18,0.6556
13261.jpg,14,0.6117
14946.jpg,9,0.6145
18235.jpg,19,0.7470
1444.jpg,11,0.6254
7581.jpg,2,0.8001
8452.jpg,15,0.7590
11351.jpg,1,0.4819
17874.jpg,19,0.7281
6399.jpg,13,0.4795
735.jpg,15,0.6844
7257.jpg,18,0.7348
1981.jpg,13,0.6735
11743.jpg,3,0.6784
1090.jpg,19,0.7555
3619.jpg,15,0.7861
19639.jpg,17,0.6730
6899.jpg,8,0.5096
10271.jpg,19,0.7379
9266.jpg,16,0.8349
11663.jpg,1,0.4314
8507.jpg,13,0.5244
5425.jpg,18,0.7359
7127.jpg,3,0.7486
14207.jpg,4,0.6795
1295.jpg,13,0.7560
17208.jpg,0,0.7261
18650.jpg,13,0.4686
18573.jpg,17,0.6674
13797.jpg,0,0.5816
7409.jpg,9,0.6836
17116.jpg,9,0.6704
8064.jpg,19,0.7205
11043.jpg,19,0.5819
12920.jpg,5,0.7743
16722.jpg,12,0.6586
10036.jpg,3,0.5209
9552.jpg,11,0.5804
16922.jpg,15,0.7220
14715.jpg,3,0.6605
851.jpg,15,0.6765
5971.jpg,4,0.6681
5994.jpg,15,0.9762
18097.jpg,8,0.4629
15068.jpg,4,0.6465
17518.jpg,15,0.7110
4401.jpg,19,0.6632
9057.jpg,5,0.8129
501.jpg,13,0.5281
5959.jpg,8,0.6593
9970.jpg,14,0.5051
3795.jpg,7,0.7219
4791.jpg,14,0.5806
18675.jpg,14,0.6655
1274.jpg,1,0.5940
13380.jpg,11,0.6939
15275.jpg,13,0.6317
1387.jpg,7,0.6746
926.jpg,19,0.7078
11041.jpg,8,0.5066
2305.jpg,1,0.6682
51.jpg,5,0.7708
19666.jpg,15,0.5865
11083.jpg,0,0.5600
5320.jpg,7,0.7071
15580.jpg,2,0.6890
11019.jpg,9,0.6781
10894.jpg,10,0.5314
2396.jpg,13,0.4301
18482.jpg,7,0.6426
9883.jpg,16,0.6812
8385.jpg,3,0.6885
7199.jpg,6,0.5569
1947.jpg,9,0.7358
12788.jpg,4,0.7944
11014.jpg,16,0.6364
9117.jpg,13,0.5216
19045.jpg,13,0.5596
11430.jpg,13,0.4699
7171.jpg,3,0.6634
13302.jpg,9,0.7032
11220.jpg,4,0.6438
2594.jpg,14,0.4996
11212.jpg,17,0.5955
4020.jpg,3,0.4575
7357.jpg,8,0.5221
14190.jpg,6,0.6987
17167.jpg,11,0.7312
12129.jpg,15,0.7166
8771.jpg,15,0.7541
7850.jpg,9,0.6189
2139.jpg,7,0.8345
14379.jpg,4,0.6943
2299.jpg,13,0.5259
2585.jpg,7,0.8243
10715.jpg,10,0.6695
303.jpg,1,0.7160
11466.jpg,8,0.4566
1745.jpg,16,0.7104
3713.jpg,6,0.6251
2386.jpg,11,0.5958
2058.jpg,7,0.6444
19313.jpg,18,0.7945
1563.jpg,5,0.8763
8653.jpg,4,0.7144
14631.jpg,13,0.4543
13630.jpg,4,0.6562
3925.jpg,13,0.5451
4750.jpg,3,0.5822
15590.jpg,13,0.4954
14253.jpg,2,0.7525
14720.jpg,11,0.6627
17021.jpg,5,0.7656
12317.jpg,8,0.5532
3959.jpg,8,0.4426
3500.jpg,14,0.6263
15330.jpg,3,0.6182
18139.jpg,19,0.6900
15626.jpg,1,0.6316
8552.jpg,16,0.7747
5393.jpg,13,0.4493
8671.jpg,6,0.4998
11301.jpg,9,0.6534
10171.jpg,3,0.5966
18154.jpg,12,0.6975
3062.jpg,7,0.8304
2022.jpg,10,0.7611
11778.jpg,2,0.8187
11313.jpg,19,0.6714
19590.jpg,9,0.6411
13785.jpg,6,0.5235
19010.jpg,13,0.6601
973.jpg,14,0.5754
12347.jpg,12,0.8086
8626.jpg,8,0.5165
16201.jpg,13,0.4915
769.jpg,3,0.6213
11227.jpg,5,0.8322
7661.jpg,1,0.5768
14345.jpg,3,0.6224
16558.jpg,13,0.6439
15062.jpg,13,0.4482
12793.jpg,4,0.7779
17791.jpg,7,0.7801
6855.jpg,19,0.6902
19684.jpg,15,0.6083
4522.jpg,14,0.6152
15376.jpg,3,0.6629
2889.jpg,6,0.5793
953.jpg,6,0.5234
9586.jpg,15,0.7530
6384.jpg,3,0.5899
3653.jpg,13,0.5381
19432.jpg,9,0.7170
10144.jpg,0,0.6890
3893.jpg,11,0.5849
6557.jpg,8,0.6100
19887.jpg,4,0.6050
15320.jpg,11,0.7179
8602.jpg,8,0.6853
3818.jpg,16,0.8822
1184.jpg,7,0.6517
8724.jpg,11,0.5811
7644.jpg,17,0.6350
12379.jpg,19,0.6219
14700.jpg,17,0.6560
12053.jpg,16,0.6040
7842.jpg,4,0.6876
1190.jpg,19,0.5715
5215.jpg,0,0.6159
19861.jpg,9,0.7640
12750.jpg,7,0.6891
14837.jpg,11,0.6316
15.jpg,0,0.6184
2769.jpg,5,0.8172
13738.jpg,9,0.6280
4775.jpg,16,0.7517
16093.jpg,6,0.5828
13616.jpg,19,0.6662
4237.jpg,14,0.5270
3291.jpg,6,0.5920
7201.jpg,16,0.7202
14691.jpg,1,0.8062
19001.jpg,14,0.5051
18708.jpg,9,0.7792
14464.jpg,16,0.9051
8123.jpg,18,0.7764
8173.jpg,12,0.6391
7080.jpg,3,0.4894
10903.jpg,19,0.5875
11646.jpg,3,0.6329
3292.jpg,13,0.4585
9792.jpg,13,0.6438
6775.jpg,14,0.4474
14916.jpg,15,0.5447
10786.jpg,16,0.7468
10059.jpg,13,0.5535
15937.jpg,7,0.5727
5738.jpg,15,0.7166
12316.jpg,16,0.7857
3345.jpg,19,0.6474
9462.jpg,9,0.6885
14651.jpg,5,0.7521
12864.jpg,13,0.5982
5196.jpg,15,0.6995
17851.jpg,19,0.5757
19830.jpg,4,0.7215
4563.jpg,10,0.4906
1760.jpg,15,0.6458
1999.jpg,8,0.5140
1018.jpg,16,0.8266
9918.jpg,8,0.6044
11348.jpg,16,0.7243
8838.jpg,13,0.4585
7729.jpg,11,0.5189
4302.jpg,11,0.7245
8092.jpg,19,0.5691
12641.jpg,19,0.5731
19725.jpg,2,0.7093
10651.jpg,11,0.5254
6871.jpg,7,0.6041
16553.jpg,3,0.5953
2360.jpg,11,0.5643
19846.jpg,19,0.6640
12624.jpg,5,0.8467
17640.jpg,7,0.7241
12263.jpg,19,0.7095
1075.jpg,15,0.8316
15481.jpg,9,0.8286
16473.jpg,13,0.6723
8003.jpg,19,0.7044
8623.jpg,10,0.7640
6189.jpg,13,0.6439
9325.jpg,10,0.5198
7338.jpg,7,0.7883
10717.jpg,2,0.7549
8001.jpg,0,0.5665
16350.jpg,3,0.5021
13729.jpg,8,0.5324
4139.jpg,17,0.6935
14436.jpg,13,0.5497
3877.jpg,13,0.6190
11828.jpg,4,0.6753
1628.jpg,3,0.6395
5900.jpg,2,0.7402
19972.jpg,9,0.7736
7746.jpg,6,0.5876
7586.jpg,16,0.7226
9741.jpg,3,0.5346
9353.jpg,3,0.6803
3054.jpg,11,0.5533
5354.jpg,18,0.8232
12736.jpg,16,0.7178
8497.jpg,16,0.8255
857.jpg,11,0.6159
14217.jpg,11,0.5602
7408.jpg,15,0.8636
12879.jpg,15,0.7214
94.jpg,6,0.6140
6251.jpg,15,0.8284
6449.jpg,15,0.6905
13148.jpg,14,0.5300
7699.jpg,6,0.5995
17321.jpg,9,0.7542
10451.jpg,3,0.6439
1319.jpg,8,0.5374
5112.jpg,11,0.5720
8476.jpg,2,0.6323
15915.jpg,0,0.7959
5940.jpg,14,0.6601
8588.jpg,5,0.7714
17309.jpg,0,0.6828
6293.jpg,7,0.6486
3929.jpg,12,0.8092
7397.jpg,8,0.4823
5089.jpg,17,0.7245
9498.jpg,0,0.6079
14410.jpg,6,0.7534
14740.jpg,14,0.6147
12819.jpg,8,0.5152
6038.jpg,0,0.5591
4483.jpg,10,0.6625
11919.jpg,6,0.5401
16780.jpg,9,0.7686
7541.jpg,1,0.8002
10698.jpg,19,0.5711
7302.jpg,16,0.8137
18376.jpg,7,0.8106
13953.jpg,15,0.7445
13547.jpg,14,0.5253
6549.jpg,13,0.4642
8367.jpg,3,0.7476
18190.jpg,13,0.5444
16213.jpg,6,0.5359
15427.jpg,13,0.6489
6617.jpg,19,0.6680
6175.jpg,5,0.7843
7528.jpg,7,0.7198
1405.jpg,18,0.8662
13964.jpg,11,0.5709
10431.jpg,16,0.7281
3759.jpg,7,0.6526
13436.jpg,0,0.7964
17071.jpg,9,0.7271
15845.jpg,13,0.5260
14947.jpg,13,0.5156
7401.jpg,9,0.7069
11240.jpg,14,0.6759
9228.jpg,13,0.4701
5779.jpg,17,0.6008
14955.jpg,14,0.6148
16238.jpg,11,0.6227
3423.jpg,16,0.6018
19075.jpg,19,0.6447
17090.jpg,15,0.7069
4097.jpg,15,0.6659
7037.jpg,13,0.5662
1957.jpg,0,0.7816
15894.jpg,7,0.7881
8730.jpg,7,0.7357
10501.jpg,19,0.7292
12051.jpg,0,0.6830
7626.jpg,19,0.5941
9293.jpg,7,0.6172
1464.jpg,9,0.6177
13175.jpg,2,0.8115
2327.jpg,12,0.7611
9147.jpg,3,0.5532
14719.jpg,8,0.5426
10690.jpg,6,0.5808
11923.jpg,18,0.6637
2618.jpg,8,0.5345
17726.jpg,13,0.4522
16145.jpg,1,0.5188
4975.jpg,9,0.7497
602.jpg,15,0.6479
15581.jpg,10,0.7112
1776.jpg,7,0.5951
2793.jpg,19,0.6654
19111.jpg,0,0.7429
12057.jpg,6,0.6787
16828.jpg,8,0.6299
8014.jpg,5,0.7273
2255.jpg,4,0.6629
13383.jpg,19,0.7080
1453.jpg,16,0.7814
10792.jpg,2,0.7149
4617.jpg,19,0.6987
17754.jpg,2,0.6137
10028.jpg,19,0.6810
19258.jpg,15,0.8207
8493.jpg,10,0.6183
6373.jpg,6,0.5986
19604.jpg,19,0.7035
4221.jpg,13,0.5803
4810.jpg,10,0.7103
8748.jpg,11,0.4504
5209.jpg,19,0.5606
5121.jpg,10,0.7975
3941.jpg,6,0.7420
13503.jpg,2,0.8090
16467.jpg,9,0.6277
17666.jpg,0,0.7046
11253.jpg,2,0.8088
8906.jpg,17,0.7097
3830.jpg,5,0.8143
8408.jpg,14,0.5257
15877.jpg,12,0.6725
3096.jpg,13,0.6536
15586.jpg,13,0.4699
96.jpg,13,0.4581
7115.jpg,0,0.5490
12207.jpg,1,0.6858
4817.jpg,1,0.4575
8026.jpg,4,0.6397
15336.jpg,14,0.5733
19031.jpg,3,0.7223
15504.jpg,5,0.7392
3876.jpg,8,0.4943
17247.jpg,7,0.7467
15810.jpg,5,0.8347
17144.jpg,13,0.6633
4415.jpg,0,0.6409
15256.jpg,16,0.7387
19883.jpg,0,0.7556
12259.jpg,11,0.5789
13411.jpg,19,0.6331
17475.jpg,4,0.6276
3843.jpg,13,0.6099
8749.jpg,16,0.8411
16725.jpg,0,0.6320
4061.jpg,3,0.5977
5323.jpg,15,0.7319
8071.jpg,19,0.5968
13094.jpg,3,0.8360
2959.jpg,18,0.6959
2129.jpg,15,0.6973
15347.jpg,5,0.8329
17203.jpg,1,0.6802
1977.jpg,1,0.5648
6854.jpg,1,0.8212
10002.jpg,14,0.6184
15400.jpg,6,0.5516
15095.jpg,4,0.6829
13730.jpg,3,0.5769
17642.jpg,7,0.7583
6004.jpg,4,0.6913
2318.jpg,15,0.6677
2801.jpg,15,0.6407
3669.jpg,7,0.6374
1574.jpg,9,0.7945
18278.jpg,15,0.5208
17850.jpg,7,0.7443
17858.jpg,15,0.7144
4030.jpg,13,0.4822
13796.jpg,9,0.8175
19107.jpg,11,0.6525
1842.jpg,4,0.6376
6146.jpg,11,0.5055
8044.jpg,8,0.5444
910.jpg,8,0.4238
6188.jpg,11,0.5924
5101.jpg,13,0.4887
13013.jpg,3,0.5040
3739.jpg,11,0.6637
11513.jpg,9,0.6663
15037.jpg,4,0.6716
19179.jpg,7,0.7126
3825.jpg,14,0.5249
3269.jpg,7,0.7503
3025.jpg,4,0.6494
15967.jpg,5,0.8209
11665.jpg,0,0.6101
6581.jpg,16,0.7831
8966.jpg,5,0.8579
5381.jpg,16,0.8178
14186.jpg,10,0.7461
3980.jpg,15,0.8210
15523.jpg,19,0.6221
13995.jpg,19,0.6724
6374.jpg,5,0.8461
13540.jpg,14,0.5272
12608.jpg,3,0.6051
10445.jpg,19,0.6818
10821.jpg,3,0.5477
14354.jpg,13,0.7229
18456.jpg,3,0.5694
2883.jpg,0,0.7584
7143.jpg,3,0.6164
569.jpg,11,0.5485
11306.jpg,6,0.5560
18104.jpg,16,0.9062
17367.jpg,8,0.4927
7781.jpg,3,0.6046
3211.jpg,7,0.5456
2241.jpg,7,0.7114
1346.jpg,13,0.6647
479.jpg,11,0.5595
44.jpg,4,0.6394
16803.jpg,4,0.6530
18810.jpg,14,0.7497
1709.jpg,19,0.5721
1434.jpg,15,0.8293
12610.jpg,19,0.6333
3692.jpg,18,0.7965
4241.jpg,15,0.6436
101.jpg,1,0.7903
7894.jpg,18,0.8701
5379.jpg,5,0.7827
7333.jpg,4,0.6524
5718.jpg,19,0.6079
7770.jpg,1,0.6396
11892.jpg,13,0.6050
5873.jpg,15,0.7429
17554.jpg,1,0.7575
13890.jpg,6,0.8925
13126.jpg,16,0.8354
6324.jpg,18,0.7144
9068.jpg,10,0.5182
4390.jpg,8,0.6406
19225.jpg,2,0.7302
18271.jpg,6,0.7175
10895.jpg,19,0.7847
1993.jpg,4,0.6248
14429.jpg,2,0.6559
835.jpg,1,0.6204
7121.jpg,13,0.6043
12152.jpg,11,0.6687
18122.jpg,8,0.6023
12362.jpg,9,0.9003
6279.jpg,5,0.7551
18272.jpg,11,0.6085
3889.jpg,13,0.5353
19470.jpg,14,0.5608
19958.jpg,14,0.4514
260.jpg,5,0.8338
15649.jpg,19,0.6620
8926.jpg,9,0.7050
5453.jpg,19,0.6681
7870.jpg,4,0.7157
17866.jpg,1,0.6469
2904.jpg,12,0.7358
6522.jpg,6,0.5485
4806.jpg,13,0.5252
7880.jpg,19,0.7297
18990.jpg,5,0.8176
17581.jpg,16,0.7817
6797.jpg,9,0.8164
9936.jpg,2,0.6695
19769.jpg,14,0.6355
17926.jpg,6,0.6654
7975.jpg,0,0.8115
12818.jpg,19,0.5812
5240.jpg,17,0.7022
7351.jpg,18,0.6653
18446.jpg,18,0.8117
18003.jpg,0,0.5806
14605.jpg,2,0.6836
5392.jpg,10,0.6803
14396.jpg,9,0.6377
697.jpg,13,0.5230
3353.jpg,7,0.7763
14926.jpg,8,0.6138
5643.jpg,10,0.6319
586.jpg,0,0.5975
19286.jpg,0,0.5993
18633.jpg,11,0.5594
3156.jpg,2,0.7479
14262.jpg,13,0.4945
14878.jpg,0,0.6927
1782.jpg,13,0.5281
11389.jpg,2,0.6664
4703.jpg,10,0.8125
9906.jpg,14,0.5588
14177.jpg,13,0.4087
14825.jpg,5,0.7617
15979.jpg,4,0.7517
15690.jpg,13,0.4360
79.jpg,3,0.7091
19632.jpg,2,0.7651
1144.jpg,19,0.6430
9848.jpg,17,0.6156
12671.jpg,9,0.8049
14113.jpg,18,0.7652
16788.jpg,3,0.6836
4357.jpg,2,0.8449
12706.jpg,5,0.8790
4576.jpg,10,0.6228
1380.jpg,5,0.8308
11140.jpg,4,0.6837
17374.jpg,19,0.7828
17232.jpg,15,0.7756
15890.jpg,3,0.5504
19674.jpg,8,0.5347
18295.jpg,13,0.4864
17388.jpg,2,0.7412
11105.jpg,18,0.7271
13670.jpg,3,0.6808
6838.jpg,4,0.6340
17468.jpg,13,0.6215
16903.jpg,6,0.6699
8112.jpg,11,0.5519
5711.jpg,13,0.4343
2392.jpg,13,0.7277
8856.jpg,19,0.7531
4384.jpg,13,0.4858
10360.jpg,6,0.6163
727.jpg,11,0.7090
7686.jpg,17,0.7711
5638.jpg,10,0.7240
2242.jpg,17,0.7647
16747.jpg,0,0.6620
18487.jpg,19,0.7330
10105.jpg,15,0.6813
8792.jpg,11,0.6090
16249.jpg,14,0.6460
15307.jpg,13,0.6636
5422.jpg,1,0.6943
16914.jpg,4,0.6862
721.jpg,11,0.5622
7873.jpg,15,0.8247
8990.jpg,14,0.5662
6893.jpg,5,0.7360
9930.jpg,2,0.6605
19600.jpg,8,0.6323
5314.jpg,2,0.7311
5079.jpg,19,0.6824
19738.jpg,3,0.6708
9499.jpg,13,0.4722
2739.jpg,14,0.6194
7985.jpg,6,0.5591
1392.jpg,3,0.5642
18702.jpg,14,0.6565
139.jpg,1,0.6299
14848.jpg,13,0.4420
17750.jpg,19,0.5477
9740.jpg,16,0.7230
10526.jpg,2,0.8259
16894.jpg,2,0.6413
15983.jpg,13,0.5466
391.jpg,18,0.7614
409.jpg,15,0.7241
6224.jpg,9,0.5886
17175.jpg,19,0.6453
49.jpg,8,0.5469
12929.jpg,3,0.6194
6979.jpg,6,0.6208
18318.jpg,13,0.4821
8389.jpg,19,0.5692
12266.jpg,4,0.7572
3082.jpg,15,0.7388
19527.jpg,13,0.6987
10490.jpg,7,0.8108
815.jpg,16,0.6774
16991.jpg,7,0.5919
2536.jpg,1,0.6513
2043.jpg,4,0.6546
3811.jpg,13,0.5898
10493.jpg,5,0.7513
11500.jpg,8,0.5520
3443.jpg,16,0.7547
17618.jpg,2,0.7884
12401.jpg,3,0.6536
7448.jpg,10,0.7745
18219.jpg,7,0.6203
1323.jpg,1,0.6963
10896.jpg,4,0.6927
14620.jpg,1,0.6442
9355.jpg,3,0.7121
15830.jpg,7,0.8749
13756.jpg,13,0.4559
18091.jpg,19,0.8099
15823.jpg,4,0.6903
16005.jpg,17,0.5875
5560.jpg,8,0.6319
7669.jpg,8,0.5899
9094.jpg,3,0.5416
14941.jpg,19,0.5960
5396.jpg,7,0.5805
8950.jpg,1,0.6002
6819.jpg,9,0.7110
17495.jpg,10,0.7012
14487.jpg,3,0.5602
6879.jpg,19,0.7988
11464.jpg,12,0.7769
1837.jpg,5,0.9095
10358.jpg,7,0.6387
5347.jpg,13,0.6122
19620.jpg,8,0.6355
10928.jpg,7,0.5930
8964.jpg,4,0.7518
16218.jpg,6,0.6764
13988.jpg,2,0.6505
3583.jpg,6,0.5958
11223.jpg,14,0.5298
5919.jpg,5,0.8052
9722.jpg,13,0.4980
3613.jpg,19,0.5735
10723.jpg,3,0.5745
5436.jpg,8,0.6234
10560.jpg,6,0.5105
892.jpg,10,0.6366
14398.jpg,6,0.6297
13544.jpg,16,0.6160
6957.jpg,6,0.5209
10372.jpg,2,0.8726
3064.jpg,8,0.6790
12698.jpg,2,0.7510
1425.jpg,12,0.7934
12237.jpg,5,0.7636
18425.jpg,14,0.6079
3921.jpg,11,0.5895
12035.jpg,5,0.8086
2037.jpg,5,0.7506
8885.jpg,14,0.6941
13877.jpg,19,0.6740
18279.jpg,2,0.7342
4454.jpg,13,0.5733
14559.jpg,15,0.6457
5662.jpg,13,0.4830
16547.jpg,19,0.7283
12975.jpg,1,0.6198
2787.jpg,4,0.6752
2811.jpg,4,0.7271
9701.jpg,4,0.7185
9281.jpg,3,0.5172
12037.jpg,11,0.7001
5861.jpg,15,0.6651
6596.jpg,16,0.6910
12904.jpg,6,0.6774
15534.jpg,2,0.7226
9475.jpg,15,0.8073
2293.jpg,4,0.8027
10466.jpg,12,0.7995
855.jpg,10,0.6053
15550.jpg,5,0.8056
2243.jpg,4,0.6024
9354.jpg,0,0.8576
8171.jpg,12,0.6859
1666.jpg,10,0.6868
17038.jpg,0,0.6475
877.jpg,3,0.5783
4727.jpg,0,0.7004
13525.jpg,17,0.6459
11361.jpg,1,0.4832
2539.jpg,13,0.5041
4296.jpg,2,0.7634
9227.jpg,5,0.7844
3163.jpg,9,0.7675
1432.jpg,6,0.7414
11809.jpg,13,0.4496
4413.jpg,16,0.7354
5763.jpg,19,0.6923
15358.jpg,8,0.7238
7152.jpg,13,0.4691
4176.jpg,13,0.4639
2688.jpg,19,0.8197
6353.jpg,3,0.5890
12147.jpg,2,0.7093
6190.jpg,8,0.5825
2071.jpg,13,0.5577
5944.jpg,13,0.5391
10736.jpg,13,0.4734
16171.jpg,2,0.6659
19501.jpg,16,0.6748
17611.jpg,16,0.8340
3784.jpg,13,0.5510
16577.jpg,0,0.6366
1123.jpg,8,0.6642
19011.jpg,13,0.5060
3540.jpg,4,0.7855
16066.jpg,19,0.7103
10233.jpg,13,0.4419
7140.jpg,15,0.7162
17467.jpg,2,0.5830
665.jpg,17,0.6908
1874.jpg,0,0.7144
11875.jpg,2,0.8188
17706.jpg,3,0.7416
16429.jpg,14,0.5340
3313.jpg,4,0.6823
7872.jpg,8,0.5315
6760.jpg,2,0.7381
18182.jpg,7,0.7271
4593.jpg,13,0.5441
12709.jpg,19,0.7624
17744.jpg,3,0.5789
1313.jpg,19,0.6237
5064.jpg,6,0.6082
19294.jpg,19,0.6974
3590.jpg,12,0.6676
14795.jpg,7,0.8066
2967.jpg,11,0.4846
6406.jpg,3,0.7084
8390.jpg,7,0.6580
1960.jpg,5,0.7763
58.jpg,0,0.7823
18612.jpg,16,0.6634
18276.jpg,14,0.6474
17747.jpg,5,0.8193
6706.jpg,0,0.5417
5019.jpg,11,0.5960
2547.jpg,7,0.7330
14766.jpg,4,0.8176
15740.jpg,13,0.5232
718.jpg,5,0.7466
14367.jpg,13,0.4866
6799.jpg,9,0.6200
8651.jpg,9,0.6879
11546.jpg,4,0.7429
14951.jpg,14,0.5707
7700.jpg,18,0.7317
18016.jpg,14,0.5062
14338.jpg,0,0.7429
5370.jpg,7,0.7281
18273.jpg,15,0.7137
2141.jpg,19,0.6972
2864.jpg,4,0.6572
3898.jpg,13,0.5771
9733.jpg,2,0.7204
15988.jpg,0,0.7609
1052.jpg,6,0.5022
18809.jpg,11,0.7725
7163.jpg,19,0.7153
1579.jpg,14,0.4841
13232.jpg,14,0.5218
18691.jpg,8,0.4697
13764.jpg,13,0.6835
1630.jpg,5,0.8282
622.jpg,11,0.6503
14593.jpg,14,0.4006
16051.jpg,19,0.5813
14963.jpg,17,0.6061
7681.jpg,10,0.6257
2611.jpg,10,0.6226
